Date,Close,High,Low,Open,Volume
2022-07-01,52548.22266,53763.75094,52267.71613,53202.73789,24982097
2022-07-04,53389.74609,53670.25264,52080.71554,52454.72427,17807126
2022-07-05,53483.24609,54418.26788,53483.24609,53857.25481,14216539
2022-07-06,52735.21875,53576.7382,52735.21875,53576.7382,16820461
2022-07-07,54418.26953,54885.78044,52641.72809,52735.23027,21322833
2022-07-08,54885.76953,55446.78251,54418.25872,54792.26737,15339271
2022-07-11,54979.27344,55727.29076,54885.77127,55446.78427,13042624
2022-07-12,54324.75781,54885.7708,54324.75781,54792.26864,9336061
2022-07-13,54231.25391,54792.26688,54231.25391,54511.76039,10841315
2022-07-14,53763.74609,54418.26126,53670.24393,53763.74609,15067012
2022-07-15,56101.30078,56101.30078,54324.75959,54605.26609,18685583
2022-07-18,57877.84766,57971.34983,56568.81718,56662.31935,20832517
2022-07-19,56942.81641,57503.82938,56288.30128,57410.32721,15248261
2022-07-20,56568.8125,58064.84721,56568.8125,57784.3407,16782238
2022-07-21,57784.33203,57877.83419,56755.80832,57129.81694,12291374
2022-07-22,57316.83203,58158.35159,57223.32986,57784.3429,10261310
2022-07-25,57129.82813,57877.84551,56849.3216,56942.82378,9193681
2022-07-26,57690.83984,57877.84419,56849.3203,56849.3203,6597211
2022-07-27,57784.33203,57877.83419,57223.3191,57316.82125,7320997
2022-07-28,57877.84766,58532.3629,57597.34112,58251.85636,10745302
2022-07-29,57410.33203,58532.35806,57316.82986,58345.35373,15093120
2022-08-01,57316.83203,57690.84072,56381.8103,57036.32551,13154816
2022-08-02,57690.83984,57877.84419,57036.32464,57223.32899,13614895
2022-08-03,57316.83203,57597.33855,57036.32551,57597.33855,10053861
2022-08-04,57503.83594,57784.34245,57223.32942,57690.84028,9125439
2022-08-05,57503.83594,57877.84463,57223.32942,57690.84028,9567620
2022-08-08,56849.32031,57410.33334,56662.31597,57410.33334,11313150
2022-08-09,56101.30078,56755.81596,55727.29211,56662.31379,18251170
2022-08-10,55259.78516,55353.28733,54792.27428,55072.78081,18084349
2022-08-11,56007.79688,56101.29904,55446.78388,55727.29038,15141941
2022-08-12,56288.3125,56755.8234,55540.29506,55633.79724,10786658
2022-08-16,57036.32031,57597.3333,56381.80516,56568.80949,15036727
2022-08-17,56475.30859,57223.32593,56381.80643,57129.82376,9061518
2022-08-18,57503.83594,57877.84463,56101.30335,56381.80987,16372754
2022-08-19,56942.81641,57597.33154,56662.30992,57410.32721,6923679
2022-08-22,56101.30078,56475.30945,55914.29645,56381.80729,8259865
2022-08-23,55259.78516,55727.29603,55166.28298,55166.28298,9041629
2022-08-24,55166.28125,55633.79211,55166.28125,55353.28559,8888486
2022-08-25,55820.80078,55820.80078,55166.28553,55353.28989,5767902
2022-08-26,56101.30078,56942.82029,56007.79861,56381.80729,9499995
2022-08-29,54792.27734,55072.78388,54792.27734,54885.77952,9841329
2022-08-30,54979.27344,55166.27777,54511.76261,54885.77127,9690044
2022-08-31,55820.80078,56007.80514,54418.2681,54418.2681,14203512
2022-09-01,54605.26953,55072.7804,54511.76736,54885.77605,14905777
2022-09-02,53763.74609,54792.26993,53763.74609,54511.76343,15040310
2022-09-05,53389.74609,54044.26137,53109.23955,53670.25264,11425977
2022-09-06,53389.74609,53857.25701,53202.74173,53483.24828,7503086
2022-09-07,52361.21875,53015.73398,52267.71657,53015.73398,17384854
2022-09-08,51987.20313,52735.22044,51987.20313,52548.21611,18000016
2022-09-13,54324.75781,54698.76647,53109.22967,53296.234,17166581
2022-09-14,53109.23438,53483.24307,52454.71916,52548.22134,12524961
2022-09-15,52361.21875,53389.74269,52361.21875,53296.24051,11664819
2022-09-16,52548.22266,52735.22701,51893.70743,51987.2096,13456503
2022-09-19,52735.21875,53296.23172,52361.21011,52641.71659,12278653
2022-09-20,52174.20703,53296.23299,52174.20703,52735.22001,14041465
2022-09-21,51706.70313,51893.70748,51426.1966,51800.2053,11863700
2022-09-22,50865.18359,51145.69012,50771.68142,51052.18795,12786510
2022-09-23,50958.67969,51332.68835,50678.17319,50865.17752,10555964
2022-09-26,50397.66797,50678.17447,50117.16147,50210.66363,15008449
2022-09-27,50678.17578,50678.17578,50023.6606,50304.1671,16631289
2022-09-28,49462.64453,50865.17698,49088.63588,50397.66617,19991129
2022-09-29,49520.07813,50555.66911,49520.07813,50179.09057,13882080
2022-09-30,49990.80078,50461.52395,48766.92054,49237.64371,22503249
2022-10-04,51967.83984,52156.12912,51308.82738,52061.98448,19148435
2022-10-05,52720.99609,53850.73172,52156.12828,53568.29782,22458970
2022-10-06,53003.42969,53944.87604,53003.42969,53380.00823,14944446
2022-10-07,52909.28125,53568.29365,51967.83496,52626.84736,16886813
2022-10-11,52156.12891,52438.56282,50838.10399,51214.68254,21437877
2022-10-12,52532.69922,53662.43469,51967.83149,52438.5546,18408910
2022-10-13,51967.83984,52815.14158,51967.83984,52156.12912,13784602
2022-10-14,53003.42969,53191.71896,52532.70651,52909.28505,12924326
2022-10-17,53285.85547,53662.43395,52438.55388,52532.6985,13641878
2022-10-18,53191.71094,53756.57866,52532.69859,53380.00018,14820702
2022-10-19,52532.69922,53568.29006,52438.5546,53380.00082,12660652
2022-10-20,52250.26953,52720.99268,51873.69101,51967.83564,17107653
2022-10-21,52626.84766,53003.42617,51873.69062,51873.69062,11456060
2022-10-24,54133.16016,54133.16016,53380.00315,53662.43702,16944503
2022-10-25,54321.45313,55168.75482,53662.4407,53662.4407,17405678
2022-10-26,55921.91016,56110.19942,54321.45145,54603.88534,20824967
2022-10-27,56016.05469,56580.92247,55451.18691,56204.34395,21756712
2022-10-28,53944.87109,55733.619,53850.72647,55451.18512,20924937
2022-10-31,55921.91016,56392.63331,54603.88534,54698.02997,18999514
2022-11-01,56486.78125,56769.21516,56016.05807,56392.63661,17201647
2022-11-02,56110.19531,56486.7738,55827.76144,56204.33994,13202919
2022-11-03,55733.61719,56298.48493,54698.02633,55168.74945,17492162
2022-11-04,55921.91016,56016.05479,54980.46386,55639.47627,12445841
2022-11-07,56675.07031,56769.21495,55921.91323,56204.34714,12437246
2022-11-08,58181.375,58275.51962,56957.49494,56957.49494,18273898
2022-11-09,58369.66797,58557.95722,57710.65559,58369.66797,14045592
2022-11-10,56863.35547,57898.94638,56863.35547,57804.80175,21087633
2022-11-11,59216.97266,59499.40655,58652.10487,59405.26192,20037163
2022-11-14,58275.53125,59216.97764,58087.24197,59216.97764,15973416
2022-11-15,58746.24609,58840.39072,57993.08909,58557.95684,12310986
2022-11-16,59028.67969,59028.67969,58087.23344,58746.24581,12909260
2022-11-17,57804.80469,58369.67249,57710.66005,58369.67249,13298296
